draftOrder,playerTeamPosition,auctionPrice
7,"Stephen Gostkowski, NE K",$2 
9,"Mike Evans, TB WR",$60 
11,Jaguars D/ST D/ST,$1 
27,"Devonta Freeman, Atl RB",$45 
43,"Kyle Rudolph, Min TE",$1 
46,"Demaryius Thomas, Den WR",$17 
48,"Dalvin Cook, Min RB",$19 
61,"Isaiah Crowell, NYJ RB",$9 
62,"Alshon Jeffery, Phi WR",$16 
73,"Adrian Peterson, Ari RB",$4 
75,"Drew Brees, NO QB",$9 
83,"Delanie Walker, Ten TE",$1 
91,"Rex Burkhead, NE RB",$1 
99,"Pierre Garcon, SF WR",$1 
107,"Cameron Meredith, NO WR",$1 
110,"Eric Decker, Ten WR",$4 
4,Chiefs D/ST D/ST,$2 
20,"Blair Walsh, Sea K",$1 
31,"Rob Gronkowski, NE TE",$22 
37,"Jordan Howard, Chi RB",$37 
42,"T.Y. Hilton, Ind WR",$24 
44,"Golden Tate, Det WR",$8 
45,"Jay Ajayi, Phi RB",$21 
50,"Davante Adams, GB WR",$14 
59,"Christian McCaffrey, Car RB",$16 
68,"Emmanuel Sanders, Den WR",$11 
70,"Tyreek Hill, KC WR",$9 
76,"Mark Ingram, NO RB",$5 
80,"Eddie Lacy, Sea RB",$2 
82,"Jamison Crowder, Wsh WR",$3 
84,"Dak Prescott, Dal QB",$1 
100,"Russell Wilson, Sea QB",$24 
5,"Antonio Brown, Pit WR",$67 
8,"Julian Edelman, NE WR",$8 
17,Cardinals D/ST D/ST,$1 
24,"Aaron Rodgers, GB QB",$33 
30,"A.J. Green, Cin WR",$56 
33,"Jordan Reed, Wsh TE",$12 
49,"Phil Dawson, Ari K",$1 
52,"Kelvin Benjamin, Buf WR",$9 
79,"Bilal Powell, NYJ RB",$4 
81,"Spencer Ware, KC RB",$1 
88,"Terrance West, Bal RB",$2 
97,"Randall Cobb, GB WR",$2 
105,"Cam Newton, Car QB",$1 
117,"Ted Ginn Jr., NO WR",$1 
122,"Jeremy Hill, NE RB",$1 
126,"Jamaal Charles, Den RB",$1 
2,"David Johnson, Ari RB",$75 
14,Texans D/ST D/ST,$1 
22,"Dan Bailey, Dal K",$1 
25,"Jordy Nelson, Oak WR",$53 
32,"Matt Ryan, Atl QB",$12 
40,"Marshawn Lynch, Oak RB",$19 
51,"Greg Olsen, Car TE",$2 
67,"Joe Mixon, Cin RB",$4 
78,"Sammy Watkins, KC WR",$13 
86,"Stefon Diggs, Min WR",$3 
92,"Frank Gore, Mia RB",$2 
94,"DeVante Parker, Mia WR",$4 
98,"LeGarrette Blount, Det RB",$2 
101,"Willie Snead, NO WR",$5 
102,"DeSean Jackson, TB WR",$1 
109,"C.J. Anderson, Den RB",$3 
19,"LeSean McCoy, Buf RB",$42 
21,"Matt Prater, Det K",$1 
28,"Terrelle Pryor Sr., NYJ WR",$12 
29,"Melvin Gordon, LAC RB",$44 
34,"Kirk Cousins, Min QB",$5 
55,"Brandin Cooks, LAR WR",$30 
56,"Tom Brady, NE QB",$14 
60,"Jimmy Graham, GB TE",$5 
63,"Keenan Allen, LAC WR",$30 
77,"Allen Robinson, Chi WR",$1 
93,Bills D/ST D/ST,$1 
104,"Brandon Marshall, NYG WR",$3 
108,"Kareem Hunt, KC RB",$3 
112,"Rob Kelley, Wsh RB",$3 
114,"Tevin Coleman, Atl RB",$1 
119,"Derrick Henry, Ten RB",$5 
12,"Matt Bryant, Atl K  ",$3 
13,Patriots D/ST D/ST  ,$2 
16,"Martellus Bennett, NE TE  ",$15 
23,"Odell Beckham Jr., NYG WR  ",$65 
26,"Jameis Winston, TB QB  ",$8 
36,"DeAndre Hopkins, Hou WR  ",$30 
38,"Michael Thomas, NO WR  ",$42 
57,"Leonard Fournette, Jax RB  ",$22 
64,"Carlos Hyde, Cle RB  ",$6 
72,"Kevin White, Chi WR  ",$1 
96,"Theo Riddick, Det RB  ",$1 
111,"Donte Moncrief, Jax WR  ",$1 
116,"Eli Manning, NYG QB  ",$1 
121,"Adam Thielen, Min WR  ",$1 
125,"Marvin Jones Jr., Det WR  ",$1 
128,"Paul Perkins, NYG RB  ",$1 
3,"Julio Jones, Atl WR",$71 
6,"Justin Tucker, Bal K",$2 
10,"Travis Kelce, KC TE",$21 
15,"Ezekiel Elliott, Dal RB",$29 
18,Vikings D/ST D/ST,$1 
41,"DeMarco Murray, Ten RB",$29 
47,"Lamar Miller, Hou RB",$12 
58,"Derek Carr, Oak QB",$6 
66,"Jarvis Landry, Cle WR",$9 
69,"Michael Crabtree, Bal WR",$10 
71,"Larry Fitzgerald, Ari WR",$5 
74,"Danny Woodhead, Bal RB",$1 
90,"Mike Wallace, Phi WR",$1 
106,"Jeremy Maclin, Bal WR",$1 
118,"Ben Roethlisberger, Pit QB",$1 
123,"James White, NE RB",$1 
1,"Le'Veon Bell, Pit RB",$69 
35,"Dez Bryant, Dal WR",$31 
39,"Todd Gurley II, LAR RB",$31 
53,"Doug Baldwin, Sea WR",$11 
54,"Amari Cooper, Oak WR",$28 
65,"Ty Montgomery, GB RB",$2 
85,Broncos D/ST D/ST,$2 
87,"Martavis Bryant, Pit WR",$5 
89,"Ameer Abdullah, Det RB",$2 
95,"Adam Vinatieri, Ind K",$1 
103,"Mike Gillislee, NE RB",$1 
113,"Marcus Mariota, Ten QB",$2 
115,"Zach Ertz, Phi TE",$1 
120,"Darren McFadden, Dal RB",$5 
124,"Doug Martin, Oak RB",$8 
127,"Andrew Luck, Ind QB",$1 
