PLAYER,POSITION,TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
1. David Johnson, RB, ARI,RB1,8,1,1,3,1,2,1.6
2. Le'Veon Bell, RB, PIT,RB2,9,2,2,2,2,1,1.8
3. Antonio Brown, WR, PIT,WR1,9,3,4,1,4,3,3
4. Ezekiel Elliott, RB, DAL,RB3,6,8,3,5,3,4,4.6
5. Odell Beckham Jr., WR, NYG,WR2,8,5,6,7,5,5,5.6
6. Julio Jones, WR, ATL,WR3,5,6,5,4,7,6,5.6
7. Jordy Nelson, WR, GB,WR4,8,4,8,6,8,11,7.4
8. Mike Evans, WR, TB,WR5,1,7,9,13,6,7,8.4
9. LeSean McCoy, RB, BUF,RB4,6,9,11,8,10,9,9.4
10. A.J. Green, WR, CIN,WR6,6,10,7,10,13,8,9.6
11. Michael Thomas, WR, NO,WR7,5,11,10,11,9,12,10.6
12. Devonta Freeman, RB, ATL,RB5,5,11,12,9,12,10,10.8
13. Melvin Gordon, RB, LAC,RB6,9,12,13,12,11,16,12.8
14. Brandin Cooks, WR, NE,WR8,9,12,16,16,14,15,14.6
15. Jordan Howard, RB, CHI,RB7,9,15,19,18,15,13,16
16. DeMarco Murray, RB, TEN,RB8,8,13,21,15,16,17,16.4
17. Doug Baldwin, WR, SEA,WR9,6,14,17,14,17,20,16.4
18. Jay Ajayi, RB, MIA,RB9,1,25,14,20,18,21,19.6
19. Todd Gurley, RB, LAR,RB10,8,20,20,17,19,24,20
20. Amari Cooper, WR, OAK,WR10,10,22,22,24,21,18,21.4
21. T.Y. Hilton, WR, IND,WR11,11,31,15,23,20,19,21.6
22. Rob Gronkowski, TE, NE,TE1,9,15,24,19,33,22,22.6
23. Dez Bryant, WR, DAL,WR12,6,18,23,27,32,14,22.8
24. Leonard Fournette, RB, JAC,RB11,8,23,29,29,26,25,26.4
25. Demaryius Thomas, WR, DEN,WR13,5,35,25,26,22,27,27
26. Terrelle Pryor Sr., WR, WAS,WR14,5,29,26,37,23,23,27.6
27. Lamar Miller, RB, HOU,RB12,7,30,31,25,24,30,28
28. DeAndre Hopkins, WR, HOU,WR15,7,40,18,21,35,33,29.4
29. Alshon Jeffery, WR, PHI,WR16,10,34,27,28,36,28,30.6
30. Isaiah Crowell, RB, CLE,RB13,9,28,41,22,25,39,31
31. Michael Crabtree, WR, OAK,WR17,10,36,28,38,31,32,33
32. Kareem Hunt, RB, KC,RB14,10,26,42,30,28,46,34.4
33. Keenan Allen, WR, LAC,WR18,9,21,34,58,37,26,35.2
34. Golden Tate, WR, DET,WR19,7,37,39,33,38,41,37.6
35. Christian McCaffrey, RB, CAR,RB15,11,32,43,34,27,56,38.4
36. Carlos Hyde, RB, SF,RB16,11,49,32,32,44,38,39
37. Larry Fitzgerald, WR, ARI,WR20,8,46,35,47,34,36,39.6
38. Marshawn Lynch, RB, OAK,RB17,10,27,30,35,52,55,39.8
39. Ty Montgomery, RB, GB,RB18,8,43,65,31,42,29,42
40. Jordan Reed, TE, WAS,TE2,5,24,55,44,47,43,42.6
41. Dalvin Cook, RB, MIN,RB19,9,55,44,36,29,50,42.8
42. Davante Adams, WR, GB,WR21,8,33,36,61,39,51,44
43. Emmanuel Sanders, WR, DEN,WR22,5,48,33,42,56,47,45.2
44. Tom Brady, QB, NE,QB1,9,39,49,50,49,40,45.4
45. Aaron Rodgers, QB, GB,QB2,8,47,48,41,48,45,45.8
46. Jarvis Landry, WR, MIA,WR23,1,66,47,49,41,31,46.8
47. Kelvin Benjamin, WR, CAR,WR24,11,38,40,60,60,42,48
