RANKPLAYER,POS,TEAM,POSRANK
1. Le'Veon Bell,RB,PIT,RB1
2. Todd Gurley II,RB,LAR,RB2
3. David Johnson,RB,ARI,RB3
4. Ezekiel Elliott,RB,DAL,RB4
5. Antonio Brown,WR,PIT,WR1
6. Saquon Barkley,RB,NYG,RB5
7. Alvin Kamara,RB,NO,RB6
8. Julio Jones,WR,ATL,WR2
9. DeAndre Hopkins,WR,HOU,WR3
10. Odell Beckham Jr.,WR,NYG,WR4
11. Kareem Hunt,RB,KC,RB7
12. Dalvin Cook,RB,MIN,RB8
13. Keenan Allen,WR,LAC,WR5
14. Leonard Fournette,RB,JAC,RB9
15. Melvin Gordon,RB,LAC,RB10
16. Michael Thomas,WR,NO,WR6
17. A.J. Green,WR,CIN,WR7
18. Christian McCaffrey,RB,CAR,RB11
19. Devonta Freeman,RB,ATL,RB12
20. Davante Adams,WR,GB,WR8
21. Rob Gronkowski,TE,NE,TE1
22. Mike Evans,WR,TB,WR9
23. LeSean McCoy,RB,BUF,RB13
24. Travis Kelce,TE,KC,TE2
25. Jerick McKinnon,RB,SF,RB14
26. Joe Mixon,RB,CIN,RB15
27. Larry Fitzgerald,WR,ARI,WR10
28. T.Y. Hilton,WR,IND,WR11
29. Adam Thielen,WR,MIN,WR12
30. Stefon Diggs,WR,MIN,WR13
31. Jordan Howard,RB,CHI,RB16
32. Zach Ertz,TE,PHI,TE3
33. Tyreek Hill,WR,KC,WR14
34. Demaryius Thomas,WR,DEN,WR15
35. Allen Robinson,WR,CHI,WR16
36. Doug Baldwin,WR,SEA,WR17
37. Golden Tate,WR,DET,WR18
38. Josh Gordon,WR,CLE,WR19
39. Alshon Jeffery,WR,PHI,WR20
40. Amari Cooper,WR,OAK,WR21
41. Marvin Jones Jr.,WR,DET,WR22
42. Kenyan Drake,RB,MIA,RB17
43. Jarvis Landry,WR,CLE,WR23
44. Brandin Cooks,WR,LAR,WR24
45. Royce Freeman,RB,DEN,RB18
46. Ronald Jones II,RB,TB,RB19
47. Rashaad Penny,RB,SEA,RB20
48. Alex Collins,RB,BAL,RB21
49. Derrick Henry,RB,TEN,RB22
50. Jay Ajayi,RB,PHI,RB23
51. Marshawn Lynch,RB,OAK,RB24
52. Dion Lewis,RB,TEN,RB25
53. JuJu Smith-Schuster,WR,PIT,WR25
54. Robert Woods,WR,LAR,WR26
55. Emmanuel Sanders,WR,DEN,WR27
56. Michael Crabtree,WR,BAL,WR28
57. Corey Davis,WR,TEN,WR29
58. Aaron Rodgers,QB,GB,QB1
59. Tom Brady,QB,NE,QB2
60. Lamar Miller,RB,HOU,RB26
61. Mark Ingram,RB,NO,RB27
62. Duke Johnson Jr.,RB,CLE,RB28
63. Isaiah Crowell,RB,NYJ,RB29
64. Greg Olsen,TE,CAR,TE4
65. Delanie Walker,TE,TEN,TE5
66. Evan Engram,TE,NYG,TE6
67. Chris Hogan,WR,NE,WR30
68. Pierre Garcon,WR,SF,WR31
69. Sammy Watkins,WR,KC,WR32
70. Randall Cobb,WR,GB,WR33
71. Devin Funchess,WR,CAR,WR34
72. Will Fuller V,WR,HOU,WR35
73. Rex Burkhead,RB,NE,RB30
74. Tevin Coleman,RB,ATL,RB31
75. Jimmy Graham,TE,GB,TE7
76. DeVante Parker,WR,MIA,WR36
77. Robby Anderson,WR,NYJ,WR37
78. Cam Newton,QB,CAR,QB3
79. Carson Wentz,QB,PHI,QB4
80. Russell Wilson,QB,SEA,QB5
81. Deshaun Watson,QB,HOU,QB6
82. Marquise Goodwin,WR,SF,WR38
83. Cooper Kupp,WR,LAR,WR39
84. Kelvin Benjamin,WR,BUF,WR40
85. Tarik Cohen,RB,CHI,RB32
86. Chris Thompson,RB,WAS,RB33
87. Sony Michel,RB,NE,RB34
88. Kerryon Johnson,RB,DET,RB35
89. Marlon Mack,RB,IND,RB36
90. Jordan Reed,TE,WAS,TE8
91. Andrew Luck,QB,IND,QB7
92. Sterling Shepard,WR,NYG,WR41
93. Julian Edelman,WR,NE,WR42
94. Jamison Crowder,WR,WAS,WR43
95. Kenny Stills,WR,MIA,WR44
96. Jamaal Williams,RB,GB,RB37
97. Ty Montgomery,RB,GB,RB38
98. Carlos Hyde,RB,CLE,RB39
99. Giovani Bernard,RB,CIN,RB40
100. Kyle Rudolph,TE,MIN,TE9
101. Josh Doctson,WR,WAS,WR45
102. Marqise Lee,WR,JAC,WR46
103. Jordy Nelson,WR,OAK,WR47
104. Nelson Agholor,WR,PHI,WR48
105. Rishard Matthews,WR,TEN,WR49
106. Allen Hurns,WR,DAL,WR50
107. Paul Richardson,WR,WAS,WR51
108. Kenny Golladay,WR,DET,WR52
109. Mohamed Sanu,WR,ATL,WR53
110. Cameron Meredith,WR,NO,WR54
111. Tyler Lockett,WR,SEA,WR55
112. DeSean Jackson,WR,TB,WR56
113. D.J. Moore,WR,CAR,WR57
114. Michael Gallup,WR,DAL,WR58
115. Chris Godwin,WR,TB,WR59
116. Ben Roethlisberger,QB,PIT,QB8
117. Kirk Cousins,QB,MIN,QB9
118. Jack Doyle,TE,IND,TE10
119. Trey Burton,TE,CHI,TE11
120. David Njoku,TE,CLE,TE12
121. Theo Riddick,RB,DET,RB41
122. James White,RB,NE,RB42
123. Nick Chubb,RB,CLE,RB43
124. Chris Carson,RB,SEA,RB44
125. Devontae Booker,RB,DEN,RB45
126. Matthew Stafford,QB,DET,QB10
127. Drew Brees,QB,NO,QB11
128. Patrick Mahomes,QB,KC,QB12
129. Calvin Ridley,WR,ATL,WR60
130. Dez Bryant,WR,FA,WR61
131. John Ross,WR,CIN,WR62
132. Danny Amendola,WR,MIA,WR63
133. Philip Rivers,QB,LAC,QB13
134. Jimmy Garoppolo,QB,SF,QB14
135. Matt Ryan,QB,ATL,QB15
136. Alex Smith,QB,WAS,QB16
137. Anthony Miller,WR,CHI,WR64
138. James Washington,WR,PIT,WR65
139. Donte Moncrief,WR,JAC,WR66
140. Courtland Sutton,WR,DEN,WR67
141. Mike Williams,WR,LAC,WR68
142. C.J. Anderson,RB,CAR,RB46
143. Jordan Wilkins,RB,IND,RB47
144. Jeremy Hill,RB,NE,RB48
145. Charles Clay,TE,BUF,TE13
146. Tyler Eifert,TE,CIN,TE14
147. Latavius Murray,RB,MIN,RB49
148. Nyheim Hines,RB,IND,RB50
149. Rob Kelley,RB,WAS,RB51
150. Marcus Mariota,QB,TEN,QB17
151. Dak Prescott,QB,DAL,QB18
152. Jared Goff,QB,LAR,QB19
153. Jaguars D/ST,DST,JAC,DST1
154. Samaje Perine,RB,WAS,RB52
155. Doug Martin,RB,OAK,RB53
156. Matt Breida,RB,SF,RB54
157. LeGarrette Blount,RB,DET,RB55
158. Eric Decker,WR,NE,WR69
159. Christian Kirk,WR,ARI,WR70
160. Mike Wallace,WR,PHI,WR71
161. George Kittle,TE,SF,TE15
162. John Brown,WR,BAL,WR72
163. Mitchell Trubisky,QB,CHI,QB20
164. Aaron Jones,RB,GB,RB56
165. Corey Clement,RB,PHI,RB57
166. Keelan Cole,WR,JAC,WR73
167. Martavis Bryant,WR,OAK,WR74
168. Cameron Brate,TE,TB,TE16
169. Austin Seferian-Jenkins,TE,JAC,TE17
170. Eagles D/ST,DST,PHI,DST2
171. Rams D/ST,DST,LAR,DST3
172. Vikings D/ST,DST,MIN,DST4
173. Texans D/ST,DST,BAL,DST5
174. Ravens D/ST,DST,HOU,DST6
175. Greg Zuerlein,K,LAR,K1
176. Stephen Gostkowski,K,NE,K2
177. Justin Tucker,K,BAL,K3
178. Patriots D/ST,DST,NE,DST7
179. Chargers D/ST,DST,LAC,DST8
180. Broncos D/ST,DST,DEN,DST9
181. Saints D/ST,DST,NO,DST10
182. Titans D/ST,DST,TEN,DST11
183. Panthers D/ST,DST,CAR,DST12
184. Matt Bryant,K,ATL,K4
185. Wil Lutz,K,NO,K5
186. Chris Boswell,K,PIT,K6
187. Robbie Gould,K,SF,K7
188. Jake Elliott,K,PHI,K8
189. Matt Prater,K,DET,K9
190. Harrison Butker,K,KC,K10
191. Adam Vinatieri,K,IND,K11
192. Graham Gano,K,CAR,K12
193. Kenneth Dixon,RB,BAL,RB58
194. Bilal Powell,RB,NYJ,RB59
195. Darren Sproles,RB,PHI,RB60
196. Benjamin Watson,TE,NO,TE18
197. Vance McDonald,TE,PIT,TE19
198. Jared Cook,TE,OAK,TE20
199. D'Onta Foreman,RB,HOU,RB61
200. Chris Ivory,RB,BUF,RB62
201. Austin Ekeler,RB,LAC,RB63
202. Spencer Ware,RB,KC,RB64
203. Chase Edmonds,RB,ARI,RB65
204. Frank Gore,RB,MIA,RB66
205. Peyton Barber,RB,TB,RB67
206. Elijah McGuire,RB,NYJ,RB68
207. Jonathan Stewart,RB,NYG,RB69
208. Javorius Allen,RB,BAL,RB70
209. T.J. Yeldon,RB,JAC,RB71
210. Eric Ebron,TE,IND,TE21
211. O.J. Howard,TE,TB,TE22
212. Tyrod Taylor,QB,CLE,QB21
213. Terrelle Pryor Sr.,WR,NYJ,WR75
214. Quincy Enunwa,WR,NYJ,WR76
215. Tyler Boyd,WR,CIN,WR77
216. Albert Wilson,WR,MIA,WR78
217. Ted Ginn Jr.,WR,NO,WR79
218. Terrance Williams,WR,DAL,WR80
219. Andy Dalton,QB,CIN,QB22
220. Ryan Tannehill,QB,MIA,QB23
221. Redskins D/ST,DST,WAS,DST13
222. Cardinals D/ST,DST,ARI,DST14
223. Dan Bailey,K,DAL,K13
224. Ryan Succop,K,TEN,K14
225. Willie Snead,WR,BAL,WR81
226. Tyrell Williams,WR,LAC,WR82
227. Zay Jones,WR,BUF,WR83
228. Brandon Marshall,WR,SEA,WR84
229. Deon Cain,WR,IND,WR85
